序号,股票名,ticker,一级行业分类,二级行业分类,买入日期,卖出日期,买入价格(前复权,卖出价格(前复权,涨幅
1,獐子岛,002069,农林牧渔,渔业,2022-03-21,2022-03-31,3.72,4.48,20.43%
2,泰尔股份,002347,机械设备,通用机械,2022-02-21,2022-03-31,4.81,4.44,-7.69%
3,天地源,600665,房地产,房地产开发,2022-03-17,2022-03-29,3.41,4.02,17.89%
4,国芳集团,601086,商业贸易,一般零售,2021-12-23,2022-03-23,3.88,4.70,21.13%
5,冀凯股份,002691,机械设备,专用设备,2022-01-25,2022-03-23,5.09,5.70,11.98%
6,中科云网,002306,休闲服务,餐饮,2022-03-17,2022-03-21,3.07,3.10,0.98%
7,中兴商业,000715,商业贸易,一般零售,2022-02-21,2022-03-17,5.05,4.76,-5.74%
8,京能置业,600791,房地产,房地产开发,2022-02-25,2022-03-17,4.24,3.98,-6.13%
9,宝利国际,300135,化工,石油化工,2022-02-11,2022-03-03,2.81,2.98,6.05%
10,中科云网,002306,休闲服务,餐饮,2022-02-17,2022-02-25,3.12,2.98,-4.49%
