序号,股票名,ticker,一级行业分类,二级行业分类,买入日期,卖出日期,买入价格(前复权,卖出价格(前复权,涨幅
1,新美星,300509,机械设备,专用设备,2022-03-30,2022-04-01,6.55,6.84,4.43%
2,三木集团,000632,综合,综合,2022-01-06,2022-03-30,3.84,4.40,14.58%
3,凤竹纺织,600493,纺织服装,纺织制造,2022-03-21,2022-03-28,5.80,6.10,5.17%
4,文科园林,002775,建筑装饰,园林工程,2022-03-02,2022-03-23,4.05,4.39,8.40%
5,扬子新材,002652,建筑材料,其他建材,2021-11-01,2022-03-22,3.17,3.91,23.34%
6,先锋新材,300163,化工,化学制品,2021-12-27,2022-03-21,3.74,5.07,35.56%
7,聚力文化,002247,传媒,互联网传媒,2022-02-07,2022-03-21,2.81,3.15,12.10%
8,海泰发展,600082,房地产,园区开发,2021-09-17,2022-03-18,2.88,3.40,18.06%
9,标准股份,600302,机械设备,专用设备,2022-02-23,2022-03-14,4.98,5.24,5.22%
10,新美星,300509,机械设备,专用设备,2021-12-23,2022-03-10,6.23,6.86,10.11%
