序号,股票名,ticker,一级行业分类,二级行业分类,买入日期,卖出日期,买入价格(前复权,卖出价格(前复权,涨幅
1,溢多利,300381,医药生物,生物制品,2022-05-05,2022-06-02,7.99,9.80,22.60%
2,寿仙谷,603896,医药生物,中药,2022-01-17,2022-05-05,42.54,36.97,-13.10%
3,华大基因,300676,医药生物,医疗器械,2022-01-21,2022-03-15,90.09,91.00,1.01%
4,科伦药业,002422,医药生物,化学制药,2022-01-20,2022-01-21,19.42,21.06,8.45%
5,浙农股份,002758,医药生物,医药商业,2022-01-17,2022-01-20,11.62,11.34,-2.35%
6,华大基因,300676,医药生物,医疗器械,2022-01-07,2022-01-17,89.49,100.90,12.75%
7,新天药业,002873,医药生物,中药,2021-12-14,2022-01-07,14.35,24.08,67.80%
8,盘龙药业,002864,医药生物,中药,2021-08-26,2021-12-23,22.61,30.47,34.77%
9,寿仙谷,603896,医药生物,中药,2021-08-04,2021-12-14,32.45,40.76,25.60%
10,新天药业,002873,医药生物,中药,2021-08-18,2021-08-26,11.86,12.03,1.45%
