序号,股票名,ticker,一级行业分类,二级行业分类,买入日期,卖出日期,买入价格(前复权,卖出价格(前复权,涨幅
1,陕西煤业,601225,采掘,煤炭开采,2022-05-23,2022-06-20,18.35,19.26,4.96%
2,山西焦煤,000983,采掘,煤炭开采,2022-05-13,2022-05-23,11.85,14.00,18.14%
3,大有能源,600403,采掘,煤炭开采,2022-05-06,2022-05-13,4.69,4.60,-1.85%
4,中远海发,601866,交通运输,航运,2022-04-13,2022-05-06,3.28,2.98,-9.15%
5,鄂尔多斯,600295,采掘,其他采掘,2022-04-18,2022-05-06,21.02,17.43,-17.07%
6,君正集团,601216,化工,化学原料,2021-10-29,2022-04-18,4.90,4.69,-4.32%
7,元祖股份,603886,食品饮料,食品加工,2022-03-30,2022-04-07,17.24,18.05,4.75%
8,冀中能源,000937,采掘,煤炭开采,2021-10-29,2022-03-30,6.24,7.15,14.58%
9,元祖股份,603886,食品饮料,食品加工,2021-09-01,2021-10-29,16.74,17.19,2.70%
10,中南传媒,601098,传媒,文化传媒,2021-08-25,2021-10-29,8.17,8.25,0.98%
1,元祖股份,603886,食品饮料,食品加工,2022-03-30,2022-04-07,18.32,19.19,4.75%
2,冀中能源,000937,采掘,煤炭开采,2021-10-29,2022-03-30,6.24,7.15,14.58%
3,元祖股份,603886,食品饮料,食品加工,2021-09-01,2021-10-29,17.79,18.27,2.70%
4,中南传媒,601098,传媒,文化传媒,2021-08-25,2021-10-29,8.17,8.25,0.98%
5,格力电器,000651,家用电器,白色家电,2021-08-25,2021-10-28,43.24,35.08,-18.88%
6,陕西煤业,601225,采掘,煤炭开采,2021-06-30,2021-09-01,11.13,13.84,24.32%
7,威孚高科,000581,汽车,汽车零部件,2021-06-15,2021-08-25,21.99,22.06,0.32%
8,宁波富达,600724,房地产,房地产开发,2021-08-11,2021-08-25,3.34,3.39,1.50%
9,塔牌集团,002233,建筑材料,水泥制造,2021-04-26,2021-08-11,11.82,10.32,-12.71%
10,伟星股份,002003,纺织服装,纺织制造,2021-06-07,2021-07-05,6.32,6.51,3.01%
