序号,股票名,ticker,一级行业分类,二级行业分类,买入日期,卖出日期,买入价格(前复权,卖出价格(前复权,涨幅
1,泰坦股份,003036,机械设备,专用设备,2022-05-24,2022-06-17,9.78,10.29,5.21%
2,优彩资源,002998,化工,化学纤维,2022-05-18,2022-06-02,6.91,7.42,7.38%
3,声迅股份,003004,计算机,计算机设备,2022-04-15,2022-05-31,21.98,19.76,-10.09%
4,惠威科技,002888,电子,电子制造,2022-05-11,2022-05-24,10.06,11.48,14.12%
5,泰尔股份,002347,机械设备,通用机械,2022-05-12,2022-05-18,3.84,3.89,1.30%
6,伟隆股份,002871,机械设备,通用机械,2022-03-08,2022-05-12,10.28,9.39,-8.72%
7,恒大高新,002591,传媒,营销传播,2022-04-25,2022-05-12,4.43,6.05,36.57%
8,天元股份,003003,轻工制造,包装印刷,2022-04-28,2022-05-11,7.87,8.59,9.05%
9,禾盛新材,002290,家用电器,白色家电,2022-03-21,2022-04-28,6.95,6.08,-12.52%
10,泰坦股份,003036,机械设备,专用设备,2022-04-18,2022-04-25,10.58,9.36,-11.54%
1,友邦吊顶,002718,建筑材料,其他建材,2022-01-04,2022-03-24,12.96,13.24,2.16%
2,金富科技,003018,轻工制造,包装印刷,2022-03-14,2022-03-18,10.08,11.18,10.91%
3,名雕股份,002830,建筑装饰,装修装饰,2022-02-28,2022-03-10,11.37,12.49,9.85%
4,泰坦股份,003036,机械设备,专用设备,2022-02-25,2022-03-08,11.77,11.28,-4.16%
5,华源控股,002787,轻工制造,包装印刷,2021-12-01,2022-03-04,5.84,6.14,5.14%
6,金富科技,003018,轻工制造,包装印刷,2022-02-17,2022-02-25,10.45,10.72,2.58%
7,天元股份,003003,轻工制造,包装印刷,2022-01-25,2022-02-24,10.27,12.50,21.71%
8,伟隆股份,002871,机械设备,通用机械,2021-09-08,2022-02-17,10.06,11.97,18.99%
9,名雕股份,002830,建筑装饰,装修装饰,2021-10-28,2022-02-15,8.83,11.70,32.50%
10,亚世光电,002952,电子,光学光电子,2021-11-26,2022-01-17,12.75,20.47,60.55%
