序号,股票名,ticker,一级行业分类,二级行业分类,买入日期,卖出日期,买入价格(前复权,卖出价格(前复权,涨幅
1宇顺电子 (002289)电子 -- 光学光电子2022-06-212022-06-245.846.257.02%
2立方数科 (300344)计算机 -- 计算机应用2022-06-012022-06-214.064.357.14%
3雪浪环境 (300385)机械设备 -- 专用设备2022-06-022022-06-216.356.512.52%
4华立股份 (603038)建筑材料 -- 其他建材2022-05-272022-06-207.908.517.79%
5天晟新材 (300169)化工 -- 化学制品2022-04-262022-06-164.025.5638.31%
6派生科技 (300176)非银金融 -- 多元金融2022-03-102022-06-025.675.16-8.99%
7科信技术 (300565)通信 -- 通信设备2022-05-102022-06-017.668.5812.01%
8锐奇股份 (300126)机械设备 -- 通用机械2022-05-202022-05-305.495.632.55%
9海伦钢琴 (300329)轻工制造 -- 家用轻工2022-05-192022-05-306.726.862.08%
10天创时尚 (603608)纺织服装 -- 服装家纺2022-05-242022-05-274.374.8510.98%
1派生科技 (300176)非银金融 -- 多元金融2022-03-102022-06-025.675.16-8.99%
2科信技术 (300565)通信 -- 通信设备2022-05-102022-06-017.668.5812.01%
3锐奇股份 (300126)机械设备 -- 通用机械2022-05-202022-05-305.495.632.55%
4海伦钢琴 (300329)轻工制造 -- 家用轻工2022-05-192022-05-306.726.862.08%
5天创时尚 (603608)纺织服装 -- 服装家纺2022-05-242022-05-274.374.8510.98%
6中威电子 (300270)计算机 -- 计算机设备2022-05-192022-05-245.065.9016.60%
7宇顺电子 (002289)电子 -- 光学光电子2022-04-132022-05-205.796.288.46%
8大烨智能 (300670)电气设备 -- 高低压设备2022-05-162022-05-206.627.015.89%
9德力股份 (002571)轻工制造 -- 家用轻工2022-05-132022-05-195.115.487.24%
10晶华新材 (603683)化工 -- 化学制品2022-05-172022-05-197.127.596.60%
1,宏达新材,002211,化工,化学制品,2022-02-07,2022-03-30,3.76,3.96,5.32%
2,优彩资源,002998,化工,化学纤维,2022-02-21,2022-03-28,8.25,7.87,-4.61%
3,禾盛新材,002290,家用电器,白色家电,2022-02-25,2022-03-28,7.16,6.98,-2.51%
4,星徽股份,300464,机械设备,通用机械,2022-03-07,2022-03-28,6.64,7.30,9.94%
5,梦洁股份,002397,纺织服装,服装家纺,2022-03-23,2022-03-28,3.53,3.56,0.85%
6,酷特智能,300840,纺织服装,服装家纺,2022-03-21,2022-03-25,9.52,9.77,2.63%
7,顶固集创,300749,轻工制造,家用轻工,2022-03-11,2022-03-23,8.04,9.75,21.27%
8,锦盛新材,300849,轻工制造,包装印刷,2022-03-07,2022-03-21,11.21,10.87,-3.03%
9,南卫股份,603880,医药生物,医疗器械,2022-02-23,2022-03-11,6.26,6.34,1.28%
10,科新发展,600234,综合,综合,2022-03-07,2022-03-10,9.33,9.78,4.82%
1,深中华Ａ,000017,汽车,其他交运设备,2021-12-28,2022-02-25,3.50,4.03,15.14%
