序号,股票名,ticker,一级行业分类,二级行业分类,买入日期,卖出日期,买入价格(前复权,卖出价格(前复权,涨幅
1,金三江,301059,化工,化学制品,2022-03-29,2022-03-31,18.87,18.20,-3.55%
2,新柴股份,301032,机械设备,通用机械,2022-03-21,2022-03-29,11.25,10.86,-3.47%
3,百胜智能,301083,机械设备,专用设备,2022-03-17,2022-03-21,14.67,18.85,28.49%
4,金三江,301059,化工,化学制品,2022-03-17,2022-03-21,17.27,18.78,8.74%
5,新柴股份,301032,机械设备,通用机械,2022-03-11,2022-03-17,11.33,10.74,-5.21%
6,万辰生物,300972,农林牧渔,种植业,2022-01-25,2022-03-17,14.51,15.66,7.93%
7,百胜智能,301083,机械设备,专用设备,2022-02-15,2022-03-15,15.90,15.30,-3.77%
8,森赫股份,301056,机械设备,专用设备,2022-03-09,2022-03-11,10.51,11.05,5.14%
9,美邦股份,605033,化工,化学制品,2022-03-07,2022-03-09,18.50,17.68,-4.43%
10,运机集团,001288,机械设备,专用设备,2022-02-17,2022-03-07,16.84,17.70,5.11%
