序号,股票名,ticker,一级行业分类,二级行业分类,买入日期,卖出日期,买入价格(前复权,卖出价格(前复权,涨幅
1,世纪天鸿,300654,传媒,文化传媒,2022-05-05,2022-06-17,7.65,8.47,10.70%
2,申科股份,002633,机械设备,通用机械,2022-04-29,2022-05-19,7.48,8.55,14.30%
3,法狮龙,605318,建筑材料,其他建材,2022-03-11,2022-05-05,15.36,13.52,-11.98%
4,正裕工业,603089,汽车,汽车零部件,2022-03-28,2022-05-05,8.25,7.00,-15.19%
5,博通股份,600455,传媒,文化传媒,2021-12-10,2022-05-05,22.30,17.38,-22.06%
6,竞业达,003005,计算机,计算机应用,2022-04-26,2022-05-05,22.17,22.29,0.54%
7,惠城环保,300779,公用事业,环保工程及服务,2022-04-27,2022-04-29,12.12,12.08,-0.41%
8,开普检测,003008,综合,综合,2022-04-20,2022-04-29,25.63,21.19,-17.33%
9,浩洋股份,300833,机械设备,专用设备,2022-03-04,2022-04-27,70.25,60.24,-14.26%
10,登云股份,002715,汽车,汽车零部件,2022-04-13,2022-04-26,11.93,9.22,-22.72%
1,聚杰微纤,300819,纺织服装,纺织制造,2022-03-24,2022-03-28,21.43,22.67,5.79%
2,浪莎股份,600137,纺织服装,服装家纺,2021-10-15,2022-03-28,14.13,15.29,8.21%
3,贝斯美,300796,化工,化学制品,2021-10-29,2022-03-24,15.76,18.38,16.62%
4,欣天科技,300615,通信,通信设备,2021-12-29,2022-03-24,11.92,11.44,-4.03%
5,顶固集创,300749,轻工制造,家用轻工,2022-03-09,2022-03-23,7.88,9.79,24.24%
6,声迅股份,003004,计算机,计算机设备,2021-12-20,2022-03-17,26.37,28.71,8.87%
7,天地数码,300743,化工,化学制品,2021-11-04,2022-03-11,10.06,12.77,26.94%
8,天顺股份,002800,交通运输,物流,2022-01-07,2022-03-09,14.95,23.77,59.00%
9,海鸥股份,603269,机械设备,通用机械,2021-11-01,2022-03-04,11.24,18.58,65.30%
10,文一科技,600520,机械设备,专用设备,2021-11-01,2022-01-07,7.58,8.82,16.36%
1,海鸥股份,603269,机械设备,通用机械,2021-11-01,2022-03-04,11.24,18.58,65.30%
2,文一科技,600520,机械设备,专用设备,2021-11-01,2022-01-07,7.58,8.82,16.36%
3,耐普矿机,300818,机械设备,通用机械,2021-12-15,2022-01-04,34.94,54.24,55.24%
4,苏州龙杰,603332,化工,化学纤维,2021-08-30,2021-12-29,16.36,17.08,4.40%
5,法狮龙,605318,建筑材料,其他建材,2021-11-02,2021-12-20,13.42,16.80,25.19%
6,天顺股份,002800,交通运输,物流,2021-11-09,2021-12-15,13.59,15.32,12.73%
7,狮头股份,600539,轻工制造,家用轻工,2021-11-02,2021-12-10,6.34,7.71,21.61%
8,冠盛股份,605088,汽车,汽车零部件,2021-11-02,2021-11-09,13.58,15.44,13.70%
9,天安新材,603725,化工,化学制品,2021-09-07,2021-11-04,8.91,6.90,-22.56%
1,天顺股份,002800,交通运输,物流,2022-01-07,2022-03-09,14.95,23.77,59.00%
2,海鸥股份,603269,机械设备,通用机械,2021-11-01,2022-03-04,11.24,18.58,65.30%
3,文一科技,600520,机械设备,专用设备,2021-11-01,2022-01-07,7.58,8.82,16.36%
4,耐普矿机,300818,机械设备,通用机械,2021-12-15,2022-01-04,34.94,54.24,55.24%
5,苏州龙杰,603332,化工,化学纤维,2021-08-30,2021-12-29,16.36,17.08,4.40%
6,法狮龙,605318,建筑材料,其他建材,2021-11-02,2021-12-20,13.42,16.80,25.19%
7,天顺股份,002800,交通运输,物流,2021-11-09,2021-12-15,13.59,15.32,12.73%
8,狮头股份,600539,轻工制造,家用轻工,2021-11-02,2021-12-10,6.34,7.71,21.61%
9,冠盛股份,605088,汽车,汽车零部件,2021-11-02,2021-11-09,13.58,15.44,13.70%
10,天安新材,603725,化工,化学制品,2021-09-07,2021-11-04,8.91,6.90,-22.56%
