序号,股票名,ticker,一级行业分类,二级行业分类,买入日期,卖出日期,买入价格(前复权,卖出价格(前复权,涨幅
1恒盛能源 (605580)公用事业 -- 电力2022-05-192022-06-2412.0512.503.70%
2洪兴股份 (001209)纺织服装 -- 服装家纺2022-06-062022-06-1515.1115.07-0.28%
3正和生态 (605069)公用事业 -- 环保工程及服务2022-06-022022-06-0615.2715.853.80%
4咸亨国际 (605056)机械设备 -- 仪器仪表2022-05-252022-06-0212.4513.115.32%
5龙版传媒 (605577)传媒 -- 文化传媒2022-04-142022-05-2511.4012.408.78%
6洪兴股份 (001209)纺织服装 -- 服装家纺2022-05-132022-05-2014.9514.89-0.38%
7咸亨国际 (605056)机械设备 -- 仪器仪表2022-05-132022-05-1912.5312.52-0.08%
8运机集团 (001288)机械设备 -- 专用设备2022-05-062022-05-1313.9317.1423.11%
9恒盛能源 (605580)公用事业 -- 电力2022-04-072022-05-1312.6712.52-1.21%
10华通线缆 (605196)电气设备 -- 高低压设备2022-04-262022-05-067.327.16-2.18%
1,真爱美家,003041,纺织服装,服装家纺,2022-02-17,2022-04-01,21.82,19.72,-9.62%
2,龙版传媒,605577,传媒,文化传媒,2022-03-21,2022-03-24,12.20,12.22,0.16%
3,上海港湾,605598,建筑装饰,专业工程,2022-03-17,2022-03-21,14.59,15.13,3.70%
4,洪兴股份,001209,纺织服装,服装家纺,2022-03-11,2022-03-17,22.82,22.38,-1.93%
5,美邦股份,605033,化工,化学制品,2022-03-07,2022-03-11,18.50,18.36,-0.76%
6,上海港湾,605598,建筑装饰,专业工程,2022-03-04,2022-03-10,15.63,15.31,-2.05%
7,炬申股份,001202,交通运输,物流,2022-01-25,2022-03-07,17.23,20.20,17.24%
8,运机集团,001288,机械设备,专用设备,2022-02-25,2022-03-04,16.70,17.21,3.05%
9,恒盛能源,605580,公用事业,电力,2022-02-24,2022-02-25,15.35,15.76,2.67%
10,必得科技,605298,机械设备,运输设备,2021-12-10,2022-02-24,18.23,19.00,4.22%
1,上海港湾,605598,建筑装饰,专业工程,2022-03-04,2022-03-10,15.63,15.31,-2.05%
2,炬申股份,001202,交通运输,物流,2022-01-25,2022-03-07,17.23,20.20,17.24%
3,运机集团,001288,机械设备,专用设备,2022-02-25,2022-03-04,16.70,17.21,3.05%
4,恒盛能源,605580,公用事业,电力,2022-02-24,2022-02-25,15.35,15.76,2.67%
5,必得科技,605298,机械设备,运输设备,2021-12-10,2022-02-24,18.23,19.00,4.22%
6,园林股份,605303,建筑装饰,园林工程,2021-11-23,2022-02-17,14.67,17.16,16.97%
7,泰坦股份,003036,机械设备,专用设备,2022-01-20,2022-01-25,12.24,11.88,-2.94%
8,迎丰股份,605055,纺织服装,纺织制造,2021-12-21,2022-01-20,8.01,8.85,10.49%
9,美邦股份,605033,化工,化学制品,2021-11-22,2021-12-21,15.72,18.24,16.03%
10,炬申股份,001202,交通运输,物流,2021-11-15,2021-12-10,16.90,17.88,5.80%

