序号,股票名,ticker,一级行业分类,二级行业分类,买入日期,卖出日期,买入价格(前复权,卖出价格(前复权,涨幅
1,富佳股份,603219,家用电器,白色家电,2022-06-23,2022-06-24,18.19,19.00,4.45%
2,联翔股份,603272,轻工制造,家用轻工,2022-06-21,2022-06-23,21.78,22.16,1.74%
3,龙版传媒,605577,传媒,文化传媒,2022-06-10,2022-06-21,12.33,11.80,-4.34%
4,恒盛能源,605580,公用事业,电力,2022-05-26,2022-06-10,12.09,12.48,3.21%
5,龙版传媒,605577,传媒,文化传媒,2022-04-27,2022-05-26,9.84,12.52,27.19%
6,双枪科技,001211,轻工制造,家用轻工,2022-05-17,2022-05-19,24.03,24.60,2.37%
7,咸亨国际,605056,机械设备,仪器仪表,2022-03-30,2022-05-17,14.12,12.45,-11.85%
8,洪兴股份,001209,纺织服装,服装家纺,2022-05-13,2022-05-17,14.94,14.69,-1.72%
9,运机集团,001288,机械设备,专用设备,2022-05-11,2022-05-13,14.26,16.41,15.04%
10,恒盛能源,605580,公用事业,电力,2022-05-10,2022-05-11,11.70,11.77,0.66%
1,盛泰集团,605138,纺织服装,服装家纺,2022-03-29,2022-03-30,11.06,11.20,1.27%
2,上海港湾,605598,建筑装饰,专业工程,2022-03-28,2022-03-29,14.61,14.26,-2.40%
3,盛泰集团,605138,纺织服装,服装家纺,2022-03-10,2022-03-28,11.12,11.09,-0.27%
4,咸亨国际,605056,机械设备,仪器仪表,2022-02-23,2022-03-24,16.16,16.03,-0.80%
5,上海港湾,605598,建筑装饰,专业工程,2022-03-03,2022-03-10,15.78,15.18,-3.80%
6,美邦股份,605033,化工,化学制品,2022-02-28,2022-03-03,17.60,18.34,4.20%
7,上海港湾,605598,建筑装饰,专业工程,2022-02-25,2022-02-28,16.18,16.13,-0.31%
8,盛泰集团,605138,纺织服装,服装家纺,2022-02-07,2022-02-25,11.36,12.19,7.31%
9,炬申股份,001202,交通运输,物流,2022-01-25,2022-02-23,16.87,17.37,2.96%
10,咸亨国际,605056,机械设备,仪器仪表,2022-01-28,2022-02-07,15.46,15.64,1.16%
