序号,股票名,ticker,一级行业分类,二级行业分类,买入日期,卖出日期,买入价格(前复权,卖出价格(前复权,涨幅
1清研环境 (301288)机械设备 -- 专用设备2022-07-202022-07-2724.6827.7312.36%
2金道科技 (301279)机械设备 -- 通用机械2022-07-222022-07-2625.9526.421.81%
3长江材料 (001296)有色金属 -- 金属非金属新材料2022-07-192022-07-2622.1022.351.13%
4金 三 江 (301059)化工 -- 化学制品2022-07-202022-07-2216.8018.137.92%
5金道科技 (301279)机械设备 -- 通用机械2022-07-012022-07-2026.4426.03-1.55%
6正和生态 (605069)公用事业 -- 环保工程及服务2022-07-182022-07-2014.2815.468.26%
7清研环境 (301288)机械设备 -- 专用设备2022-06-302022-07-1924.2324.842.53%
8金 三 江 (301059)化工 -- 化学制品2022-07-042022-07-1816.5816.36-1.33%
9中兰环保 (300854)公用事业 -- 环保工程及服务2022-06-092022-07-1820.1921.898.42%
10嘉戎技术 (301148)公用事业 -- 环保工程及服务2022-07-142022-07-1525.8226.783.72%
1,百胜智能,301083,机械设备,专用设备,2022-04-28,2022-06-24,11.20,13.77,22.95%
2,远信工业,301053,机械设备,专用设备,2022-05-26,2022-06-22,22.11,23.08,4.39%
3,上海艾录,301062,轻工制造,包装印刷,2022-06-14,2022-06-21,11.23,11.20,-0.27%
4,邵阳液压,301079,机械设备,通用机械,2022-06-16,2022-06-17,23.74,23.95,0.88%
5,金百泽,301041,电子,元件,2022-06-15,2022-06-16,18.86,19.30,2.33%
6,新柴股份,301032,机械设备,通用机械,2022-06-13,2022-06-15,9.27,9.24,-0.32%
7,金百泽,301041,电子,元件,2022-06-10,2022-06-14,18.66,18.57,-0.48%
8,金三江,301059,化工,化学制品,2022-05-26,2022-06-13,15.31,16.80,9.73%
9,上海艾录,301062,轻工制造,包装印刷,2022-03-16,2022-06-10,12.85,11.24,-12.53%
10,新柴股份,301032,机械设备,通用机械,2022-06-08,2022-06-09,9.42,9.24,-1.89%
1,中兰环保,300854,公用事业,环保工程及服务,2022-04-28,2022-05-31,17.28,21.68,25.46%
2,凯旺科技,301182,电子,电子制造,2022-05-26,2022-05-27,22.03,22.27,1.12%
3,新柴股份,301032,机械设备,通用机械,2022-04-18,2022-05-26,9.67,9.17,-5.17%
4,龙版传媒,605577,传媒,文化传媒,2022-05-16,2022-05-26,10.50,12.63,20.29%
5,大地海洋,301068,公用事业,环保工程及服务,2022-05-05,2022-05-26,23.22,23.30,0.34%
6,金百泽,301041,电子,元件,2022-04-29,2022-05-16,17.03,18.53,8.81%
7,凯旺科技,301182,电子,电子制造,2022-04-29,2022-05-05,20.49,20.96,2.31%
8,读客文化,301025,传媒,文化传媒,2022-04-21,2022-04-29,13.01,11.55,-11.22%
9,龙版传媒,605577,传媒,文化传媒,2022-02-21,2022-04-29,13.60,10.38,-23.68%
10,凯旺科技,301182,电子,电子制造,2022-04-26,2022-04-28,20.07,19.42,-3.25%
1,汇隆新材,301057,化工,化学纤维,2022-03-28,2022-04-01,19.04,19.82,4.10%
2,上海港湾,605598,建筑装饰,专业工程,2022-03-28,2022-04-01,14.61,14.61,0.00%
3,盛泰集团,605138,纺织服装,服装家纺,2022-03-11,2022-03-28,11.04,11.09,0.45%
4,富佳股份,603219,家用电器,白色家电,2022-03-10,2022-03-28,15.57,19.45,24.92%
5,晶雪节能,301010,化工,化学制品,2022-02-23,2022-03-22,20.97,31.18,48.69%
6,百胜智能,301083,机械设备,专用设备,2021-12-23,2022-03-21,17.65,17.62,-0.17%
