序号,股票名,ticker,一级行业分类,二级行业分类,买入日期,卖出日期,买入价格(前复权,卖出价格(前复权,涨幅
1运机集团 (001288)机械设备 -- 专用设备2022-06-212022-06-2414.6814.66-0.14%
2金 三 江 (301059)化工 -- 化学制品2022-04-012022-06-2317.1216.87-1.49%
3瑞德智能 (301135)电子 -- 电子制造2022-06-202022-06-2124.8225.161.37%
4中兰环保 (300854)公用事业 -- 环保工程及服务2022-06-142022-06-2020.2320.732.47%
5金 百 泽 (301041)电子 -- 元件2022-05-312022-06-1418.8318.57-1.38%
6中兰环保 (300854)公用事业 -- 环保工程及服务2022-05-162022-05-3119.7221.539.16%
7金 百 泽 (301041)电子 -- 元件2022-05-262022-05-3018.2818.641.97%
8龙版传媒 (605577)传媒 -- 文化传媒2022-05-122022-05-2610.3112.5221.44%
9金 百 泽 (301041)电子 -- 元件2022-05-102022-05-1618.2418.531.59%
10中兰环保 (300854)公用事业 -- 环保工程及服务2022-04-292022-05-1218.0820.2612.03%
1中兰环保 (300854)公用事业 -- 环保工程及服务2022-05-162022-05-3119.8621.689.16%
2金 百 泽 (301041)电子 -- 元件2022-05-262022-05-3018.2818.641.97%
3龙版传媒 (605577)传媒 -- 文化传媒2022-05-122022-05-2610.4012.6321.44%
4金 百 泽 (301041)电子 -- 元件2022-05-102022-05-1618.2418.531.59%
5中兰环保 (300854)公用事业 -- 环保工程及服务2022-04-292022-05-1218.2120.4012.03%
6读客文化 (301025)传媒 -- 文化传媒2022-04-222022-05-1012.5112.17-2.72%
7龙版传媒 (605577)传媒 -- 文化传媒2022-02-212022-04-2913.6010.38-23.68%
8金 百 泽 (301041)电子 -- 元件2022-04-222022-04-2820.0716.00-20.28%
9嘉益股份 (301004)轻工制造 -- 家用轻工2022-04-192022-04-2218.4020.5611.73%
10万 事 利 (301066)纺织服装 -- 服装家纺2022-04-132022-04-1918.8118.910.53%
1,张小泉,301055,轻工制造,家用轻工,2022-03-29,2022-04-01,17.60,18.69,6.19%
2,汇隆新材,301057,化工,化学纤维,2022-03-28,2022-04-01,19.04,19.82,4.10%
3,青岛食品,001219,食品饮料,食品加工,2022-03-28,2022-03-29,25.63,25.90,1.05%
4,富佳股份,603219,家用电器,白色家电,2022-03-10,2022-03-28,15.57,19.45,24.92%
5,盛泰集团,605138,纺织服装,服装家纺,2022-03-22,2022-03-28,10.80,11.09,2.69%
6,咸亨国际,605056,机械设备,仪器仪表,2022-02-16,2022-03-24,16.02,16.03,0.06%
7,晶雪节能,301010,化工,化学制品,2022-02-23,2022-03-22,20.97,31.18,48.69%
8,百胜智能,301083,机械设备,专用设备,2022-01-25,2022-03-21,15.70,17.62,12.23%
9,汇隆新材,301057,化工,化学纤维,2022-03-15,2022-03-16,17.49,17.84,2.00%
10,美邦股份,605033,化工,化学制品,2022-03-09,2022-03-15,16.78,18.91,12.69%
1,恒盛能源,605580,公用事业,电力,2022-02-11,2022-02-25,14.03,16.50,17.61%
2,保立佳,301037,化工,化学原料,2022-02-15,2022-02-23,23.33,24.90,6.73%
3,盛泰集团,605138,纺织服装,服装家纺,2022-02-10,2022-02-21,11.58,12.17,5.09%
4,上海艾录,301062,轻工制造,包装印刷,2022-01-27,2022-02-16,14.85,14.98,0.88%
5,金三江,301059,化工,化学制品,2021-12-21,2022-02-16,22.18,19.56,-11.81%
6,运机集团,001288,机械设备,专用设备,2022-02-09,2022-02-15,16.54,16.73,1.15%
7,汇隆新材,301057,化工,化学纤维,2021-12-03,2022-02-11,21.04,18.93,-10.03%
8,新柴股份,301032,机械设备,通用机械,2022-02-09,2022-02-10,11.78,11.87,0.76%
9,盛泰集团,605138,纺织服装,服装家纺,2022-02-07,2022-02-09,11.36,11.68,2.82%
10,森赫股份,301056,机械设备,专用设备,2022-01-19,2022-02-09,11.44,10.58,-7.52%
1,运机集团,001288,机械设备,专用设备,2022-02-16,2022-03-07,16.79,18.16,8.16%
2,炬申股份,001202,交通运输,物流,2022-02-25,2022-03-04,17.18,20.48,19.21%
3,恒盛能源,605580,公用事业,电力,2022-02-11,2022-02-25,14.03,16.50,17.61%
4,保立佳,301037,化工,化学原料,2022-02-15,2022-02-23,23.33,24.90,6.73%
5,盛泰集团,605138,纺织服装,服装家纺,2022-02-10,2022-02-21,11.58,12.17,5.09%
6,上海艾录,301062,轻工制造,包装印刷,2022-01-27,2022-02-16,14.85,14.98,0.88%
7,金三江,301059,化工,化学制品,2021-12-21,2022-02-16,22.18,19.56,-11.81%
8,运机集团,001288,机械设备,专用设备,2022-02-09,2022-02-15,16.54,16.73,1.15%
9,汇隆新材,301057,化工,化学纤维,2021-12-03,2022-02-11,21.04,18.93,-10.03%
10,新柴股份,301032,机械设备,通用机械,2022-02-09,2022-02-10,11.78,11.87,0.76%
1,上海港湾,605598,建筑装饰,专业工程,2022-03-07,2022-03-10,15.49,15.18,-2.00%
2,盛泰集团,605138,纺织服装,服装家纺,2022-03-04,2022-03-09,12.13,10.97,-9.56%
3,运机集团,001288,机械设备,专用设备,2022-02-16,2022-03-07,16.79,18.16,8.16%
4,炬申股份,001202,交通运输,物流,2022-02-25,2022-03-04,17.18,20.48,19.21%
5,恒盛能源,605580,公用事业,电力,2022-02-11,2022-02-25,14.03,16.50,17.61%
6,保立佳,301037,化工,化学原料,2022-02-15,2022-02-23,23.33,24.90,6.73%
7,盛泰集团,605138,纺织服装,服装家纺,2022-02-10,2022-02-21,11.58,12.17,5.09%
8,金三江,301059,化工,化学制品,2021-12-21,2022-02-16,22.18,19.56,-11.81%
9,上海艾录,301062,轻工制造,包装印刷,2022-01-27,2022-02-16,14.85,14.98,0.88%
10,运机集团,001288,机械设备,专用设备,2022-02-09,2022-02-15,16.54,16.73,1.15%
