序号,股票名,ticker,一级行业分类,二级行业分类,买入日期,卖出日期,买入价格(前复权,卖出价格(前复权,涨幅
1征和工业 (003033)汽车 -- 汽车零部件2022-02-282022-04-2826.1620.15-22.97%
2安 奈 儿 (002875)纺织服装 -- 服装家纺2022-04-222022-04-268.779.7911.63%
3朝阳科技 (002981)电子 -- 电子制造2022-03-092022-04-2222.0120.70-5.95%
4美芝股份 (002856)建筑装饰 -- 装修装饰2022-03-012022-03-3111.4111.752.98%
5安 奈 儿 (002875)纺织服装 -- 服装家纺2022-03-182022-03-299.718.96-7.72%
6金富科技 (003018)轻工制造 -- 包装印刷2022-03-152022-03-189.8310.8910.80%
7天元股份 (003003)轻工制造 -- 包装印刷2021-11-112022-03-1511.1111.705.34%
8真爱美家 (003041)纺织服装 -- 服装家纺2022-01-182022-03-0918.8715.76-16.47%
9朝阳科技 (002981)电子 -- 电子制造2022-02-252022-03-0122.7423.714.27%
10直真科技 (003007)计算机 -- 计算机应用2021-12-162022-02-2817.7035.0798.14%
1,美芝股份,002856,建筑装饰,装修装饰,2022-03-01,2022-03-31,11.41,11.75,2.98%
2,安奈儿,002875,纺织服装,服装家纺,2022-03-18,2022-03-29,9.71,8.96,-7.72%
3,金富科技,003018,轻工制造,包装印刷,2022-03-15,2022-03-18,9.91,10.98,10.80%
4,天元股份,003003,轻工制造,包装印刷,2021-11-11,2022-03-15,11.23,11.83,5.34%
5,真爱美家,003041,纺织服装,服装家纺,2022-01-18,2022-03-09,22.83,19.07,-16.47%
6,朝阳科技,002981,电子,电子制造,2022-02-25,2022-03-01,22.74,23.71,4.27%
7,直真科技,003007,计算机,计算机应用,2021-12-16,2022-02-28,17.70,35.07,98.14%
8,宝明科技,002992,电子,光学光电子,2022-02-23,2022-02-25,12.58,13.10,4.13%
9,美芝股份,002856,建筑装饰,装修装饰,2022-02-07,2022-02-23,10.92,11.97,9.62%
10,朝阳科技,002981,电子,电子制造,2022-01-21,2022-02-16,23.01,22.82,-0.83%
1,真爱美家,003041,纺织服装,服装家纺,2022-01-18,2022-03-09,22.83,19.07,-16.47%
2,朝阳科技,002981,电子,电子制造,2022-02-25,2022-03-01,22.74,23.71,4.27%
3,直真科技,003007,计算机,计算机应用,2021-12-16,2022-02-28,17.70,35.07,98.14%
4,宝明科技,002992,电子,光学光电子,2022-02-23,2022-02-25,12.58,13.10,4.13%
5,美芝股份,002856,建筑装饰,装修装饰,2022-02-07,2022-02-23,10.92,11.97,9.62%
6,朝阳科技,002981,电子,电子制造,2022-01-21,2022-02-16,23.01,22.82,-0.83%
7,名雕股份,002830,建筑装饰,装修装饰,2021-09-10,2022-02-07,10.58,10.10,-4.54%
8,壶化股份,003002,化工,化学制品,2022-01-05,2022-01-21,11.92,15.10,26.68%
9,赛隆药业,002898,医药生物,化学制药,2021-10-14,2022-01-18,9.44,18.88,100.00%
10,安奈儿,002875,纺织服装,服装家纺,2021-08-20,2022-01-05,8.98,9.43,5.01%
