序号,股票名,ticker,一级行业分类,二级行业分类,买入日期,卖出日期,买入价格(前复权,卖出价格(前复权,涨幅
1,欣天科技,300615,通信,通信设备,2022-05-06,2022-06-14,9.25,10.12,9.35%
2,中国海诚,002116,建筑装饰,基础建设,2022-05-09,2022-05-23,8.17,10.60,29.64%
3,焦点科技,002315,传媒,互联网传媒,2021-08-19,2022-05-09,16.00,15.80,-1.25%
4,苏州科达,603660,计算机,计算机设备,2022-04-19,2022-05-06,6.59,5.28,-19.88%
5,鲁北化工,600727,化工,化学制品,2022-04-18,2022-05-06,9.93,7.46,-24.88%
6,天鹅股份,603029,机械设备,专用设备,2022-04-18,2022-05-06,11.87,10.55,-11.13%
7,初灵信息,300250,计算机,计算机应用,2022-04-29,2022-05-05,11.36,11.34,-0.18%
8,声迅股份,003004,计算机,计算机设备,2022-04-06,2022-04-29,23.58,19.07,-19.14%
9,乔治白,002687,纺织服装,服装家纺,2022-04-26,2022-04-29,4.31,4.10,-4.82%
10,苏利股份,603585,化工,化学制品,2022-04-11,2022-04-29,17.91,17.84,-0.38%
