序号,股票名,ticker,一级行业分类,二级行业分类,买入日期,卖出日期,买入价格(前复权,卖出价格(前复权,涨幅
1,天元股份,003003,轻工制造,包装印刷,2022-06-13,2022-06-16,8.90,8.92,0.22%
2,奇德新材,300995,化工,塑料,2022-06-07,2022-06-14,20.03,20.39,1.80%
3,开勒股份,301070,机械设备,通用机械,2022-05-12,2022-06-13,24.48,29.26,19.49%
4,远信工业,301053,机械设备,专用设备,2022-05-18,2022-06-13,22.67,23.04,1.63%
5,天迈科技,300807,计算机,计算机设备,2022-06-08,2022-06-13,20.80,21.13,1.59%
6,保立佳,301037,化工,化学原料,2022-05-24,2022-06-13,19.66,20.65,5.04%
7,法狮龙,605318,建筑材料,其他建材,2022-05-05,2022-06-08,13.59,14.95,10.01%
8,久量股份,300808,电子,光学光电子,2022-05-23,2022-06-08,11.72,12.23,4.35%
9,唐源电气,300789,计算机,计算机设备,2022-05-19,2022-06-07,19.16,20.37,6.32%
10,天元股份,003003,轻工制造,包装印刷,2022-06-01,2022-06-06,8.98,9.17,2.12%
1,法狮龙,605318,建筑材料,其他建材,2022-03-24,2022-03-31,15.26,15.49,1.51%
2,唐源电气,300789,计算机,计算机设备,2022-03-24,2022-03-30,22.63,22.52,-0.49%
3,霍普股份,301024,建筑装饰,房屋建设,2022-03-29,2022-03-30,45.89,48.15,4.92%
4,名雕股份,002830,建筑装饰,装修装饰,2022-03-24,2022-03-28,11.76,12.58,6.97%
5,安奈儿,002875,纺织服装,服装家纺,2022-03-23,2022-03-25,9.42,9.45,0.32%
6,唐源电气,300789,计算机,计算机设备,2022-03-07,2022-03-23,24.10,23.20,-3.73%
7,双枪科技,001211,轻工制造,家用轻工,2022-03-08,2022-03-23,27.77,28.56,2.84%
8,必得科技,605298,机械设备,运输设备,2022-03-07,2022-03-22,18.50,19.10,3.24%
9,法狮龙,605318,建筑材料,其他建材,2022-03-08,2022-03-22,15.23,15.61,2.50%
10,西大门,605155,化工,化学制品,2022-03-04,2022-03-22,20.65,22.61,9.49%
