1百邦科技 (300736)电子 -- 其他电子2022-07-252022-07-269.8710.122.53%
2双乐股份 (301036)化工 -- 化学制品2022-07-222022-07-2521.5021.530.14%
1迈普医学 (301033)医药生物 -- 医疗器械2022-07-212022-07-2239.6740.000.83%
2大连圣亚 (600593)休闲服务 -- 景点2022-07-202022-07-2113.4813.681.48%
3保 立 佳 (301037)化工 -- 化学原料2022-07-192022-07-2020.0720.542.34%
4杰恩设计 (300668)建筑装饰 -- 房屋建设2022-07-182022-07-1917.1717.471.75%
5*ST 科林 (002499)公用事业 -- 电力2022-07-152022-07-183.973.86-2.77%
6研奥股份 (300923)机械设备 -- 运输设备2022-07-142022-07-1522.0324.7912.53%
7天禄科技 (301045)电子 -- 光学光电子2022-07-132022-07-1421.3221.561.13%
8至正股份 (603991)化工 -- 塑料2022-07-122022-07-1340.2740.771.24%
9开勒股份 (301070)机械设备 -- 通用机械2022-07-112022-07-1225.0125.602.36%
10征和工业 (003033)汽车 -- 汽车零部件2022-07-082022-07-1125.7026.071.44%
