序号,股票名,ticker,一级行业分类,二级行业分类,买入日期,卖出日期,买入价格(前复权,卖出价格(前复权,涨幅
1,测绘股份,300826,建筑装饰,专业工程,2022-07-26,2022-07-27,13.45,13.55,0.74%
2,天益医疗,301097,医药生物,医疗器械,2022-07-21,2022-07-26,48.22,48.56,0.71%
3,松发股份,603268,轻工制造,家用轻工,2022-07-20,2022-07-21,18.61,18.87,1.40%
4,尤安设计,300983,建筑装饰,房屋建设,2022-07-19,2022-07-20,35.01,35.55,1.54%
5,天禄科技,301045,电子,光学光电子,2022-07-18,2022-07-19,21.81,22.72,4.17%
6,至正股份,603991,化工,塑料,2022-07-15,2022-07-18,40.02,40.10,0.20%
7,永悦科技,603879,化工,化学制品,2022-07-14,2022-07-15,6.59,6.59,0.00%
8,杰恩设计,300668,建筑装饰,房屋建设,2022-07-13,2022-07-14,17.61,17.64,0.17%
9,优德精密,300549,机械设备,专用设备,2022-07-12,2022-07-13,13.27,12.86,-3.09%
10,开勒股份,301070,机械设备,通用机械,2022-07-11,2022-07-12,25.01,25.60,2.36%
