序号,股票名,ticker,一级行业分类,二级行业分类,买入日期,卖出日期,买入价格(前复权,卖出价格(前复权,涨幅
1,百邦科技,300736,电子,其他电子,2022-07-25,2022-07-26,9.87,10.12,2.53%
3,天益医疗,301097,医药生物,医疗器械,2022-07-21,2022-07-25,48.22,47.80,-0.87%
4,双乐股份,301036,化工,化学制品,2022-07-22,2022-07-25,21.50,21.53,0.14%
1,迈普医学,301033,医药生物,医疗器械,2022-07-21,2022-07-22,39.67,40.00,0.83%
2,声迅股份,003004,计算机,计算机设备,2022-07-20,2022-07-21,20.96,20.83,-0.62%
3,美瑞新材,300848,化工,化学制品,2022-07-20,2022-07-21,18.38,18.43,0.27%
4,本川智能,300964,电子,元件,2022-07-19,2022-07-20,30.71,31.19,1.56%
5,保立佳,301037,化工,化学原料,2022-07-19,2022-07-20,20.07,20.54,2.34%
6,至正股份,603991,化工,塑料,2022-07-15,2022-07-19,40.02,40.46,1.10%
7,迈普医学,301033,医药生物,医疗器械,2022-07-18,2022-07-19,38.21,39.70,3.90%
8,*ST科林,002499,公用事业,电力,2022-07-15,2022-07-18,3.97,3.86,-2.77%
9,名臣健康,002919,化工,化学制品,2022-07-14,2022-07-15,17.41,17.29,-0.69%
10,骏成科技,301106,电子,光学光电子,2022-07-14,2022-07-15,30.01,31.14,3.77%
