1宝 丽 迪 (300905)化工 -- 塑料2022-07-272022-07-2817.6218.132.89%
2本立科技 (301065)化工 -- 化学制品2022-07-262022-07-2740.0540.210.40%
1百邦科技 (300736)电子 -- 其他电子2022-07-252022-07-269.8710.122.53%
2天益医疗 (301097)医药生物 -- 医疗器械2022-07-212022-07-2548.2247.80-0.87%
1美瑞新材 (300848)化工 -- 化学制品2022-07-20 2022-07-2118.3818.430.27%
2保 立 佳 (301037)化工 -- 化学原料2022-07-192022-07-2020.0720.542.34%
3迈普医学 (301033)医药生物 -- 医疗器械2022-07-182022-07-1938.2139.703.90%
4至正股份 (603991)化工 -- 塑料2022-07-152022-07-1840.0240.100.20%
5骏成科技 (301106)电子 -- 光学光电子2022-07-142022-07-1530.0131.143.77%
6天禄科技 (301045)电子 -- 光学光电子2022-07-132022-07-1421.3221.561.13%
7本川智能 (300964)电子 -- 元件2022-07-122022-07-1329.8829.08-2.68%
8开勒股份 (301070)机械设备 -- 通用机械2022-07-112022-07-1225.0125.602.36%
9征和工业 (003033)汽车 -- 汽车零部件2022-07-082022-07-1125.7026.071.44%
10捷荣技术 (002855)电子 -- 电子制造2022-07-072022-07-087.667.700.52%
