序号,股票名,ticker,一级行业分类,二级行业分类,买入日期,卖出日期,买入价格(前复权,卖出价格(前复权,涨幅
1,百邦科技,300736,电子,其他电子,2022-07-25,2022-07-26,9.87,10.12,2.53%
2,双乐股份,301036,化工,化学制品,2022-07-22,2022-07-25,21.50,21.53,0.14%
1,迈普医学,301033,医药生物,医疗器械,2022-07-21,2022-07-22,39.67,40.00,0.83%
2,大连圣亚,600593,休闲服务,景点,2022-07-20,2022-07-21,13.48,13.68,1.48%
3,保立佳,301037,化工,化学原料,2022-07-19,2022-07-20,20.07,20.54,2.34%
4,杰恩设计,300668,建筑装饰,房屋建设,2022-07-18,2022-07-19,17.17,17.47,1.75%
5,*ST科林,002499,公用事业,电力,2022-07-15,2022-07-18,3.97,3.86,-2.77%
6,研奥股份,300923,机械设备,运输设备,2022-07-14,2022-07-15,22.03,24.79,12.53%
7,天禄科技,301045,电子,光学光电子,2022-07-13,2022-07-14,21.32,21.56,1.13%
8,至正股份,603991,化工,塑料,2022-07-12,2022-07-13,40.27,40.77,1.24%
9,开勒股份,301070,机械设备,通用机械,2022-07-11,2022-07-12,25.01,25.60,2.36%
10,征和工业,003033,汽车,汽车零部件,2022-07-08,2022-07-11,25.70,26.07,1.44%
