序号,股票名,ticker,一级行业分类,二级行业分类,买入日期,卖出日期,买入价格(前复权,卖出价格(前复权,涨幅
1,宝丽迪,300905,化工,塑料,2022-07-27,2022-07-28,17.62,18.13,2.89%
1,本立科技,301065,化工,化学制品,2022-07-26,2022-07-27,40.05,40.21,0.40%
1,百邦科技,300736,电子,其他电子,2022-07-25,2022-07-26,9.87,10.12,2.53%
2,双乐股份,301036,化工,化学制品,2022-07-22,2022-07-25,21.50,21.53,0.14%
1,*ST西发,000752,食品饮料,饮料制造,2022-07-21,2022-07-22,4.32,4.27,-1.16%
2,美瑞新材,300848,化工,化学制品,2022-07-20,2022-07-21,18.38,18.43,0.27%
3,保立佳,301037,化工,化学原料,2022-07-19,2022-07-20,20.07,20.54,2.34%
4,迈普医学,301033,医药生物,医疗器械,2022-07-18,2022-07-19,38.21,39.70,3.90%
5,骏成科技,301106,电子,光学光电子,2022-07-14,2022-07-15,30.01,31.14,3.77%
6,天禄科技,301045,电子,光学光电子,2022-07-13,2022-07-14,21.32,21.56,1.13%
7,本川智能,300964,电子,元件,2022-07-12,2022-07-13,29.88,29.08,-2.68%
8,开勒股份,301070,机械设备,通用机械,2022-07-11,2022-07-12,25.01,25.60,2.36%
9,宏昌科技,301008,家用电器,白色家电,2022-07-08,2022-07-11,26.36,26.55,0.72%
10,*ST科林,002499,公用事业,电力,2022-07-07,2022-07-08,4.02,4.20,4.48%
