序号,股票名,ticker,一级行业分类,二级行业分类,买入日期,卖出日期,买入价格(前复权,卖出价格(前复权,涨幅
1,科伦药业,002422,医药生物,化学制药,2022-05-20,2022-06-23,17.75,19.11,7.66%
2,歌尔股份,002241,电子,电子制造,2022-05-06,2022-06-16,34.45,37.56,9.02%
3,招商轮船,601872,交通运输,航运,2022-05-05,2022-05-06,5.15,4.99,-3.11%
4,兴业矿业,000426,有色金属,工业金属,2022-05-05,2022-05-06,6.45,6.16,-4.50%
5,鼎胜新材,603876,有色金属,工业金属,2022-04-29,2022-05-05,27.25,26.99,-0.95%
6,晋控煤业,601001,采掘,煤炭开采,2022-04-27,2022-05-05,11.36,12.51,10.12%
7,天华超净,300390,电子,其他电子,2022-04-28,2022-05-05,56.26,58.74,4.41%
8,湖北宜化,000422,化工,化学原料,2022-04-11,2022-04-12,24.23,23.35,-3.63%
9,新乡化纤,000949,化工,化学纤维,2022-03-31,2022-04-11,4.73,4.50,-4.93%
10,盛新锂能,002240,有色金属,稀有金属,2022-02-08,2022-03-30,44.51,54.51,22.47%
